time,gFx,gFy,gFz,TgF
3.753000,-0.1096,0.9793,0.0128,0.985
3.757000,-0.1104,0.9849,0.0084,0.991
3.758000,-0.1104,0.9894,0.0076,0.996
3.762000,-0.1098,0.9923,0.0076,0.998
3.772000,-0.1123,0.9952,0.0004,1.001
3.784000,-0.1140,0.9944,0.0004,1.001
3.792000,-0.1130,0.9890,-0.0006,0.995
3.802000,-0.1129,0.9820,-0.0015,0.988
3.812000,-0.1135,0.9769,-0.0039,0.983
3.822000,-0.1146,0.9762,-0.0090,0.983
3.850000,-0.1164,0.9813,-0.0154,0.988
3.851000,-0.1189,0.9888,-0.0219,0.996
3.856000,-0.1158,0.9992,-0.0280,1.006
3.862000,-0.1158,0.9992,-0.0280,1.006
3.878000,-0.1131,1.0018,-0.0272,1.009
3.885000,-0.1090,1.0007,-0.0195,1.007
3.894000,-0.1090,0.9946,-0.0162,1.001
3.906000,-0.1097,0.9868,-0.0162,0.993
3.912000,-0.1164,0.9819,-0.0176,0.989
3.922000,-0.1241,0.9817,-0.0203,0.990
3.955000,-0.1280,0.9859,-0.0239,0.994
3.957000,-0.1219,0.9944,-0.0269,1.002
3.958000,-0.1219,0.9944,-0.0269,1.002
3.962000,-0.1131,0.9968,-0.0261,1.004
3.976000,-0.1041,0.9996,-0.0253,1.005
3.984000,-0.0972,1.0013,-0.0241,1.006
3.992000,-0.0933,1.0001,-0.0225,1.005
4.002000,-0.0901,0.9949,-0.0208,0.999
4.012000,-0.0899,0.9885,-0.0205,0.993
4.022000,-0.0939,0.9816,-0.0210,0.986
4.045000,-0.1010,0.9770,-0.0209,0.982
4.049000,-0.1079,0.9760,-0.0215,0.982
4.052000,-0.1135,0.9771,-0.0227,0.984
4.062000,-0.1165,0.9794,-0.0237,0.987
4.072000,-0.1175,0.9830,-0.0255,0.990
4.082000,-0.1162,0.9874,-0.0250,0.994
4.092000,-0.1138,0.9907,-0.0219,0.997
4.102000,-0.1116,0.9924,-0.0198,0.999
4.112000,-0.1119,0.9910,-0.0175,0.997
4.122000,-0.1147,0.9874,-0.0164,0.994
4.145000,-0.1178,0.9830,-0.0154,0.990
4.157000,-0.1247,0.9803,-0.0191,0.988
4.158000,-0.1298,0.9791,-0.0269,0.988
4.162000,-0.1290,0.9788,-0.0298,0.988
4.172000,-0.1253,0.9811,-0.0316,0.990
4.182000,-0.1206,0.9836,-0.0321,0.991
4.192000,-0.1167,0.9858,-0.0314,0.993
4.202000,-0.1153,0.9869,-0.0314,0.994
4.212000,-0.1140,0.9849,-0.0303,0.992
4.222000,-0.1143,0.9816,-0.0307,0.989
4.244000,-0.1160,0.9795,-0.0300,0.987
4.247000,-0.1197,0.9795,-0.0298,0.987
4.251000,-0.1242,0.9809,-0.0285,0.989
4.262000,-0.1269,0.9810,-0.0282,0.990
4.272000,-0.1275,0.9792,-0.0269,0.988
4.282000,-0.1273,0.9777,-0.0238,0.986
4.292000,-0.1262,0.9776,-0.0208,0.986
4.302000,-0.1268,0.9800,-0.0205,0.988
4.313000,-0.1287,0.9826,-0.0224,0.991
4.322000,-0.1295,0.9841,-0.0227,0.993
4.332000,-0.1294,0.9860,-0.0211,0.995
4.343000,-0.1289,0.9877,-0.0221,0.996
4.363000,-0.1283,0.9877,-0.0236,0.996
4.364000,-0.1273,0.9863,-0.0227,0.995
4.372000,-0.1226,0.9831,-0.0167,0.991
4.382000,-0.1218,0.9819,-0.0121,0.989
4.392000,-0.1250,0.9841,-0.0107,0.992
4.402000,-0.1278,0.9872,-0.0144,0.996
4.413000,-0.1287,0.9904,-0.0181,0.999
4.422000,-0.1284,0.9925,-0.0198,1.001
4.432000,-0.1270,0.9926,-0.0228,1.001
4.442000,-0.1266,0.9910,-0.0246,0.999
4.462000,-0.1268,0.9879,-0.0265,0.996
4.463000,-0.1267,0.9844,-0.0280,0.993
4.472000,-0.1277,0.9822,-0.0285,0.991
4.483000,-0.1316,0.9813,-0.0290,0.990
4.492000,-0.1353,0.9819,-0.0287,0.992
4.502000,-0.1393,0.9846,-0.0274,0.995
4.514000,-0.1415,0.9869,-0.0264,0.997
4.522000,-0.1433,0.9886,-0.0275,0.999
4.533000,-0.1418,0.9896,-0.0279,1.000
4.542000,-0.1389,0.9894,-0.0268,0.999
4.578000,-0.1368,0.9882,-0.0276,0.998
4.581000,-0.1346,0.9877,-0.0290,0.997
4.582000,-0.1327,0.9870,-0.0285,0.996
4.583000,-0.1308,0.9859,-0.0298,0.995
4.592000,-0.1301,0.9841,-0.0330,0.993
4.604000,-0.1300,0.9817,-0.0355,0.991
4.617000,-0.1297,0.9808,-0.0376,0.990
4.621000,-0.1298,0.9819,-0.0384,0.991
4.632000,-0.1298,0.9835,-0.0392,0.993
4.642000,-0.1311,0.9852,-0.0399,0.995
4.673000,-0.1311,0.9850,-0.0393,0.995
4.674000,-0.1305,0.9839,-0.0380,0.993
4.675000,-0.1306,0.9822,-0.0382,0.992
4.699000,-0.1316,0.9803,-0.0382,0.990
4.700000,-0.1336,0.9792,-0.0364,0.989
4.702000,-0.1357,0.9788,-0.0348,0.989
4.713000,-0.1373,0.9789,-0.0326,0.989
4.722000,-0.1394,0.9802,-0.0315,0.991
4.733000,-0.1397,0.9820,-0.0322,0.992
4.742000,-0.1394,0.9833,-0.0315,0.994
4.760000,-0.1407,0.9844,-0.0310,0.995
4.776000,-0.1413,0.9850,-0.0302,0.996
4.778000,-0.1429,0.9852,-0.0285,0.996
4.781000,-0.1445,0.9846,-0.0276,0.995
4.792000,-0.1457,0.9841,-0.0271,0.995
4.801000,-0.1451,0.9832,-0.0274,0.994
4.813000,-0.1435,0.9821,-0.0282,0.993
4.822000,-0.1433,0.9810,-0.0283,0.992
4.832000,-0.1434,0.9809,-0.0276,0.992
4.842000,-0.1428,0.9804,-0.0276,0.991
4.866000,-0.1439,0.9802,-0.0280,0.991
4.868000,-0.1460,0.9802,-0.0283,0.991
4.872000,-0.1470,0.9808,-0.0290,0.992
4.884000,-0.1472,0.9808,-0.0297,0.992
4.893000,-0.1465,0.9799,-0.0307,0.991
4.902000,-0.1465,0.9799,-0.0307,0.991
4.914000,-0.1456,0.9808,-0.0622,0.993
4.922000,-0.1444,0.9814,-0.0319,0.992
4.933000,-0.1432,0.9815,-0.0327,0.992
4.942000,-0.1428,0.9819,-0.0320,0.993
4.976000,-0.1423,0.9820,-0.0315,0.993
4.980000,-0.1433,0.9819,-0.0315,0.993
4.982000,-0.1440,0.9822,-0.0325,0.993
4.983000,-0.1456,0.9824,-0.0335,0.994
4.992000,-0.1484,0.9821,-0.0347,0.994
5.007000,-0.1506,0.9820,-0.0362,0.994
5.022000,-0.1512,0.9815,-0.0363,0.994
5.023000,-0.1495,0.9817,-0.0346,0.994
5.039000,-0.1455,0.9852,-0.0321,0.996
5.042000,-0.1455,0.9852,-0.0321,0.996
5.090000,-0.1449,0.9853,-0.0300,0.996
5.094000,-0.1463,0.9844,-0.0277,0.996
5.096000,-0.1490,0.9820,-0.0269,0.994
5.097000,-0.1548,0.9792,-0.0285,0.992
5.098000,-0.1548,0.9792,-0.0285,0.992
5.107000,-0.1568,0.9799,-0.0282,0.993
5.116000,-0.1566,0.9820,-0.0283,0.995
5.122000,-0.1542,0.9828,-0.0282,0.995
5.133000,-0.1509,0.9828,-0.0282,0.995
5.142000,-0.1485,0.9825,-0.0283,0.994
5.166000,-0.1472,0.9816,-0.0279,0.993
5.167000,-0.1471,0.9813,-0.0274,0.993
5.172000,-0.1474,0.9805,-0.0276,0.992
5.182000,-0.1479,0.9797,-0.0286,0.991
5.192000,-0.1490,0.9798,-0.0308,0.992
5.202000,-0.1493,0.9793,-0.0327,0.991
5.213000,-0.1493,0.9792,-0.0325,0.991
5.222000,-0.1476,0.9798,-0.0325,0.991
5.233000,-0.1460,0.9813,-0.0321,0.993
5.243000,-0.1434,0.9835,-0.0314,0.994
5.270000,-0.1410,0.9857,-0.0316,0.996
5.271000,-0.1397,0.9874,-0.0321,0.998
5.272000,-0.1395,0.9881,-0.0326,0.998
5.290000,-0.1404,0.9872,-0.0324,0.998
5.294000,-0.1421,0.9850,-0.0314,0.996
5.302000,-0.1441,0.9830,-0.0315,0.994
5.313000,-0.1454,0.9817,-0.0332,0.993
5.322000,-0.1456,0.9813,-0.0330,0.993
5.332000,-0.1457,0.9816,-0.0329,0.993
5.342000,-0.1449,0.9826,-0.0338,0.994
5.365000,-0.1444,0.9838,-0.0329,0.995
5.371000,-0.1439,0.9855,-0.0315,0.996
5.372000,-0.1451,0.9863,-0.0310,0.997
5.392000,-0.1466,0.9850,-0.0308,0.996
5.396000,-0.1487,0.9827,-0.0300,0.994
5.402000,-0.1517,0.9821,-0.0318,0.994
5.416000,-0.1531,0.9825,-0.0331,0.995
5.423000,-0.1526,0.9831,-0.0336,0.995
5.433000,-0.1510,0.9841,-0.0343,0.996
5.442000,-0.1487,0.9847,-0.0351,0.996
5.475000,-0.1459,0.9850,-0.0359,0.996
5.479000,-0.1424,0.9854,-0.0368,0.996
5.480000,-0.1402,0.9859,-0.0381,0.997
5.484000,-0.1400,0.9864,-0.0386,0.997
