time,gFx,gFy,gFz,TgF
1.784000,-0.0293,0.9665,0.2224,0.992
1.796000,-0.0324,0.9655,0.2272,0.992
1.804000,-0.0369,0.9654,0.2310,0.993
1.818000,-0.0327,0.9662,0.2298,0.994
1.824000,-0.0327,0.9662,0.2298,0.994
1.841000,-0.0286,0.9667,0.2244,0.993
1.851000,-0.0242,0.9668,0.2191,0.992
1.855000,-0.0210,0.9672,0.2157,0.991
1.866000,-0.0206,0.9679,0.2167,0.992
1.875000,-0.0254,0.9684,0.2194,0.993
1.885000,-0.0342,0.9675,0.2234,0.994
1.899000,-0.0403,0.9659,0.2289,0.993
1.905000,-0.0402,0.9656,0.2321,0.994
1.915000,-0.0360,0.9645,0.2326,0.993
1.925000,-0.0310,0.9635,0.2311,0.991
1.943000,-0.0293,0.9637,0.2271,0.990
1.951000,-0.0303,0.9650,0.1891,0.984
1.957000,-0.0305,0.9645,0.2166,0.989
1.978000,-0.0302,0.9638,0.2140,0.988
1.988000,-0.0287,0.9642,0.2124,0.988
1.991000,-0.0279,0.9642,0.2118,0.988
2.006000,-0.0287,0.9651,0.2124,0.989
2.009000,-0.0314,0.9654,0.2169,0.990
2.017000,-0.0329,0.9648,0.2240,0.991
2.025000,-0.0338,0.9649,0.2309,0.993
2.062000,-0.0344,0.9649,0.2326,0.993
2.065000,-0.0331,0.9645,0.2296,0.992
2.066000,-0.0327,0.9644,0.2244,0.991
2.067000,-0.0343,0.9657,0.2213,0.991
2.075000,-0.0354,0.9670,0.2229,0.993
2.094000,-0.0338,0.9673,0.2272,0.994
2.096000,-0.0327,0.9681,0.2305,0.996
2.105000,-0.0344,0.9693,0.2307,0.997
2.115000,-0.0359,0.9693,0.2300,0.997
2.125000,-0.0368,0.9698,0.2256,0.996
2.135000,-0.0343,0.9701,0.2226,0.996
2.161000,-0.0285,0.9698,0.2207,0.995
2.163000,-0.0247,0.9689,0.2182,0.993
2.182000,-0.0253,0.9681,0.2162,0.992
2.183000,-0.0290,0.9667,0.2149,0.991
2.184000,-0.0332,0.9654,0.2150,0.990
2.201000,-0.0353,0.9654,0.2165,0.990
2.221000,-0.0358,0.9655,0.2191,0.991
2.222000,-0.0370,0.9650,0.2207,0.991
2.237000,-0.0382,0.9650,0.2243,0.991
2.238000,-0.0388,0.9650,0.2274,0.992
2.252000,-0.0371,0.9646,0.2285,0.992
2.254000,-0.0351,0.9648,0.2283,0.992
2.267000,-0.0332,0.9654,0.2267,0.992
2.280000,-0.0333,0.9657,0.2240,0.992
2.294000,-0.0348,0.9653,0.2228,0.991
2.296000,-0.0359,0.9643,0.2224,0.990
2.311000,-0.0366,0.9638,0.2229,0.990
2.327000,-0.0352,0.9628,0.2231,0.989
2.328000,-0.0348,0.9624,0.2239,0.989
2.344000,-0.0371,0.9628,0.2267,0.990
2.345000,-0.0406,0.9624,0.2317,0.991
2.361000,-0.0415,0.9618,0.2364,0.991
2.364000,-0.0403,0.9616,0.2381,0.991
2.374000,-0.0401,0.9622,0.2369,0.992
2.384000,-0.0412,0.9616,0.2362,0.991
2.394000,-0.0418,0.9610,0.2360,0.990
2.404000,-0.0413,0.9613,0.2359,0.991
2.414000,-0.0408,0.9618,0.2345,0.991
2.425000,-0.0421,0.9631,0.2322,0.992
2.435000,-0.0439,0.9642,0.2311,0.992
2.474000,-0.0430,0.9644,0.2314,0.993
2.477000,-0.0418,0.9648,0.2336,0.994
2.478000,-0.0414,0.9655,0.2360,0.995
2.479000,-0.0401,0.9654,0.2394,0.995
2.485000,-0.0379,0.9657,0.2430,0.997
2.501000,-0.0371,0.9653,0.2467,0.997
2.508000,-0.0407,0.9655,0.2487,0.998
2.523000,-0.0467,0.9661,0.2471,0.998
2.530000,-0.0498,0.9659,0.2435,0.997
2.535000,-0.0476,0.9651,0.2380,0.995
2.545000,-0.0446,0.9651,0.2322,0.994
2.554000,-0.0436,0.9657,0.2300,0.994
2.572000,-0.0446,0.9655,0.2322,0.994
2.575000,-0.0468,0.9655,0.2369,0.995
2.587000,-0.0478,0.9654,0.2424,0.996
2.597000,-0.0476,0.9648,0.2450,0.997
2.605000,-0.0481,0.9639,0.2439,0.995
2.615000,-0.0479,0.9645,0.2425,0.996
2.625000,-0.0454,0.9656,0.2420,0.997
2.634000,-0.0434,0.9662,0.2416,0.997
2.662000,-0.0448,0.9662,0.2414,0.997
2.663000,-0.0461,0.9672,0.2409,0.998
2.664000,-0.0454,0.9675,0.2404,0.998
2.675000,-0.0448,0.9671,0.2404,0.998
2.685000,-0.0448,0.9661,0.2413,0.997
2.698000,-0.0451,0.9646,0.2413,0.995
2.705000,-0.0479,0.9639,0.2470,0.996
2.716000,-0.0489,0.9633,0.2498,0.996
2.726000,-0.0489,0.9627,0.2498,0.996
2.738000,-0.0475,0.9628,0.2471,0.995
2.771000,-0.0451,0.9622,0.2471,0.994
2.775000,-0.0429,0.9620,0.2442,0.993
2.777000,-0.0440,0.9621,0.2387,0.992
2.778000,-0.0461,0.9631,0.2371,0.993
2.797000,-0.0461,0.9631,0.2371,0.993
2.800000,-0.0468,0.9632,0.2393,0.994
2.805000,-0.0468,0.9635,0.2393,0.994
2.815000,-0.0458,0.9640,0.2400,0.995
2.824000,-0.0465,0.9640,0.2409,0.995
2.835000,-0.0475,0.9637,0.2433,0.995
2.857000,-0.0480,0.9631,0.2461,0.995
2.859000,-0.0486,0.9634,0.2485,0.996
2.869000,-0.0486,0.9632,0.2487,0.996
2.875000,-0.0487,0.9629,0.2465,0.995
2.884000,-0.0489,0.9633,0.2424,0.995
2.894000,-0.0450,0.9615,0.2378,0.991
2.905000,-0.0395,0.9601,0.2333,0.989
2.914000,-0.0359,0.9609,0.2310,0.989
2.924000,-0.0337,0.9616,0.2326,0.990
2.934000,-0.0332,0.9617,0.2372,0.991
2.953000,-0.0344,0.9615,0.2406,0.992
2.954000,-0.0363,0.9612,0.2427,0.992
2.967000,-0.0364,0.9615,0.2437,0.993
2.975000,-0.0365,0.9615,0.2432,0.992
2.985000,-0.0370,0.9612,0.2432,0.992
2.995000,-0.0358,0.9610,0.2421,0.992
3.005000,-0.0347,0.9612,0.2402,0.991
3.014000,-0.0343,0.9615,0.2409,0.992
3.026000,-0.0335,0.9615,0.2435,0.992
3.035000,-0.0326,0.9620,0.2456,0.993
3.056000,-0.0310,0.9626,0.2450,0.994
3.058000,-0.0290,0.9632,0.2419,0.994
3.081000,-0.0265,0.9634,0.2391,0.993
3.085000,-0.0279,0.9638,0.2392,0.993
3.085000,-0.0327,0.9638,0.2430,0.994
3.095000,-0.0376,0.9632,0.2491,0.996
3.104000,-0.0409,0.9629,0.2544,0.997
3.114000,-0.0420,0.9632,0.2571,0.998
